old_muni,new_muni,old_county,new_county,new_county_2024,named_dialect,numeric_dialect,cardinal_five,cardinal_four
Nord-Fron,Nord-Fron,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Nord-Odal,Nord-Odal,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Nordre Land,Nordre Land,Oppland,Innlandet,Innlandet,Østlandsk,21,east,east
Os,Os,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Rendalen,Rendalen,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Ringebu,Ringebu,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Ringsaker,Ringsaker,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Sel,Sel,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Skjåk,Skjåk,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Stange,Stange,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Stor-Elvdal,Stor-Elvdal,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Søndre Land,Søndre Land,Oppland,Innlandet,Innlandet,Østlandsk,21,east,east
Sør-Aurdal,Sør-Aurdal,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Sør-Fron,Sør-Fron,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Sør-Odal,Sør-Odal,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Tolga,Tolga,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Trysil,Trysil,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Tynset,Tynset,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Vang,Vang,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Vestre Slidre,Vestre Slidre,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Vestre Toten,Vestre Toten,Oppland,Innlandet,Innlandet,Østlandsk,21,east,east
Vågå,Vågå,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Våler,Våler,Hedmark,Innlandet,Østfold,Østlandsk,21,east,east
Østre Toten,Østre Toten,Oppland,Innlandet,Innlandet,Østlandsk,21,east,east
Øyer,Øyer,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Øystre Slidre,Øystre Slidre,Oppland,Innlandet,Innlandet,Midlandsk,21,east,east
Åmot,Åmot,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Åsnes,Åsnes,Hedmark,Innlandet,Innlandet,Østlandsk,21,east,east
Bremsnes,Kristiansund,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Grip,Kristiansund,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Frei,Kristiansund,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
,Kristiansund,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Eresfjord og Vistdal,Molde,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Nesset,Molde,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Bolsøy,Molde,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Midsund,Molde,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Sør-Aukra,Molde,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
,Molde,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Ørskog,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Skodje,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Vatne,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Borgund,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Haram,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Sandøy,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Ålesund,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Syvde,Vanylven,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Rovde,Vanylven,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Vanylven,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Rovde,Sande,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Sande,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Herøy,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Ulstein,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Hareid,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Vartdal,Ørsta,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Hjørundfjord,Ørsta,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Ørsta,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Sunnylven,Stranda,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Stranda,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Sykkylven,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Sula,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Vigra,Giske,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Giske,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Tresfjord,Vestnes,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Vestnes,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Voll,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Eid og Voll,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Eid,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Grytten,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Hen,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Veøy,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
,Rauma,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Sandøy,Aukra,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Aukra,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Kornstad,Averøy,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Kvernes,Averøy,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Bremsnes,Averøy,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
,Averøy,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Kvernes,Gjemnes,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,8,west,west
Øre,Gjemnes,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,8,west,west
,Gjemnes,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,8,west,west
Straumsnes,Tingvoll,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Stangvik,Tingvoll,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
,Tingvoll,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Øksendal,Sunndal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Ålvundeid,Sunndal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Stangvik,Sunndal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
,Sunndal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Stangvik,Surnadal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Åsskard,Surnadal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
,Surnadal,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Edøy,Smøla,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Brattvær,Smøla,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Hopen,Smøla,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
,Smøla,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Stemshaug,Aure,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Valsøyfjord,Aure,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Tustna,Aure,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
,Aure,,Møre og Romsdal,Møre og Romsdal,Uttrøndersk,8,mid,mid
Hornindal,Volda,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Dalsfjord,Volda,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Volda,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Norddal,Fjord,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Stordal,Fjord,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
,Fjord,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,12,west,west
Fræna,Hustadvika,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Bud,Hustadvika,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Hustad,Hustadvika,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Eide,Hustadvika,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
,Hustadvika,,Møre og Romsdal,Møre og Romsdal,Nordvestlandsk,11,west,west
Skjerstad,Bodø,,Nordland,Nordland,Nordlandsk,5,north,north
Bodin,Bodø,,Nordland,Nordland,Nordlandsk,5,north,north
Kjerringøy,Bodø,,Nordland,Nordland,Nordlandsk,5,north,north
Nordfold-Kjerringøy,Bodø,,Nordland,Nordland,Nordlandsk,5,north,north
,Bodø,,Nordland,Nordland,Nordlandsk,5,north,north
Narvik,Narvik,,Nordland,Nordland,Nordlandsk,4,north,north
Tysfjord,Narvik,,Nordland,Nordland,Nordlandsk,4,north,north
Ofoten,Narvik,,Nordland,Nordland,Nordlandsk,4,north,north
Ballangen,Narvik,,Nordland,Nordland,Nordlandsk,4,north,north
Ankenes,Narvik,,Nordland,Nordland,Nordlandsk,4,north,north
,Bindal,,Nordland,Nordland,Helgelandsk,8,north,north
,Sømna,,Nordland,Nordland,Helgelandsk,7,north,north
Brønnøysund,Brønnøy,,Nordland,Nordland,Helgelandsk,7,north,north
Velfjord,Brønnøy,,Nordland,Nordland,Helgelandsk,7,north,north
Brønnøy,Brønnøy,,Nordland,Nordland,Helgelandsk,7,north,north
Tjøtta,Vega,,Nordland,Nordland,Helgelandsk,7,north,north
,Vega,,Nordland,Nordland,Helgelandsk,7,north,north
,Vevelstad,,Nordland,Nordland,Helgelandsk,7,north,north
,Herøy,,Nordland,Nordland,Helgelandsk,7,north,north
Stamnes,Alstahaug,,Nordland,Nordland,Helgelandsk,7,north,north
Tjøtta,Alstahaug,,Nordland,Nordland,Helgelandsk,7,north,north
,Alstahaug,,Nordland,Nordland,Helgelandsk,7,north,north
Stamnes,Leirfjord,,Nordland,Nordland,Helgelandsk,7,north,north
Tjøtta,Leirfjord,,Nordland,Nordland,Helgelandsk,7,north,north
,Leirfjord,,Nordland,Nordland,Helgelandsk,7,north,north
Mosjøen,Vefsn,,Nordland,Nordland,Helgelandsk,7,north,north
Drevja,Vefsn,,Nordland,Nordland,Helgelandsk,7,north,north
Elsfjord,Vefsn,,Nordland,Nordland,Helgelandsk,7,north,north
,Vefsn,,Nordland,Nordland,Helgelandsk,7,north,north
,Grane,,Nordland,Nordland,Helgelandsk,7,north,north
,Hattfjelldal,,Nordland,Nordland,Helgelandsk,7,north,north
Nordvik,Dønna,,Nordland,Nordland,Helgelandsk,6,north,north
Dønnes,Dønna,,Nordland,Nordland,Helgelandsk,6,north,north
,Dønna,,Nordland,Nordland,Helgelandsk,6,north,north
,Nesna,,Nordland,Nordland,Helgelandsk,6,north,north
Korgen,Hemnes,,Nordland,Nordland,Helgelandsk,6,north,north
Sør-Rana,Hemnes,,Nordland,Nordland,Helgelandsk,6,north,north
,Hemnes,,Nordland,Nordland,Helgelandsk,6,north,north
Mo i Rana,Rana,,Nordland,Nordland,Helgelandsk,6,north,north
Nesna,Rana,,Nordland,Nordland,Helgelandsk,6,north,north
Sør-Rana,Rana,,Nordland,Nordland,Helgelandsk,6,north,north
Nord-Rana,Rana,,Nordland,Nordland,Helgelandsk,6,north,north
,Rana,,Nordland,Nordland,Helgelandsk,6,north,north
,Lurøy,,Nordland,Nordland,Helgelandsk,6,north,north
,Træna,,Nordland,Nordland,Helgelandsk,6,north,north
,Rødøy,,Nordland,Nordland,Helgelandsk,6,north,north
,Meløy,,Nordland,Nordland,Helgelandsk,6,north,north
,Gildeskål,,Nordland,Nordland,Nordlandsk,5,north,north
,Beiarn,,Nordland,Nordland,Nordlandsk,5,north,north
,Saltdal,,Nordland,Nordland,Nordlandsk,5,north,north
,Fauske,,Nordland,Nordland,Nordlandsk,5,north,north
Folden,Sørfold,,Nordland,Nordland,Nordlandsk,5,north,north
Nordfold,Sørfold,,Nordland,Nordland,Nordlandsk,5,north,north
Nordfold-Kjerringøy,Sørfold,,Nordland,Nordland,Nordlandsk,5,north,north
,Sørfold,,Nordland,Nordland,Nordlandsk,5,north,north
Nordfold,Steigen,,Nordland,Nordland,Nordlandsk,5,north,north
Nordfold-Kjerringøy,Steigen,,Nordland,Nordland,Nordlandsk,5,north,north
Leiranger,Steigen,,Nordland,Nordland,Nordlandsk,5,north,north
,Steigen,,Nordland,Nordland,Nordlandsk,5,north,north
,Lødingen,,Nordland,Nordland,Nordlandsk,4,north,north
Ofoten,Evenes,,Nordland,Nordland,Nordlandsk,4,north,north
,Evenes,,Nordland,Nordland,Nordlandsk,4,north,north
,Røst,,Nordland,Nordland,Nordlandsk,5,north,north
,Værøy,,Nordland,Nordland,Nordlandsk,5,north,north
Moskenes,Flakstad,,Nordland,Nordland,Nordlandsk,5,north,north
,Flakstad,,Nordland,Nordland,Nordlandsk,5,north,north
Buksnes,Vestvågøy,,Nordland,Nordland,Nordlandsk,5,north,north
Hol,Vestvågøy,,Nordland,Nordland,Nordlandsk,5,north,north
Borge,Vestvågøy,,Nordland,Nordland,Nordlandsk,5,north,north
Valberg,Vestvågøy,,Nordland,Nordland,Nordlandsk,5,north,north
,Vestvågøy,,Nordland,Nordland,Nordlandsk,5,north,north
Svolvær,Vågan,,Nordland,Nordland,Nordlandsk,5,north,north
Gimsøy,Vågan,,Nordland,Nordland,Nordlandsk,5,north,north
,Vågan,,Nordland,Nordland,Nordlandsk,5,north,north
,Hadsel,,Nordland,Nordland,Nordlandsk,5,north,north
,Bø,,Nordland,Nordland,Nordlandsk,4,north,north
Langenes,Øksnes,,Nordland,Nordland,Nordlandsk,4,north,north
,Øksnes,,Nordland,Nordland,Nordlandsk,4,north,north
,Sortland,,Nordland,Nordland,Nordlandsk,4,north,north
Bjørnskinn,Andøy,,Nordland,Nordland,Nordlandsk,4,north,north
Dverberg,Andøy,,Nordland,Nordland,Nordlandsk,4,north,north
Andenes,Andøy,,Nordland,Nordland,Nordlandsk,4,north,north
,Andøy,,Nordland,Nordland,Nordlandsk,4,north,north
Moskenes,Moskenes,,Nordland,Nordland,Nordlandsk,5,north,north
Hamarøy,Hamarøy,,Nordland,Nordland,Nordlandsk,5,north,north
Tysfjord,Hamarøy,,Nordland,Nordland,Nordlandsk,4,north,north
Oslo,Oslo,Oslo,Oslo,Oslo,Østlandsk,22,east,east
Egersund,Eigersund,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Heskestad,Eigersund,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Helleland,Eigersund,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Eigersund,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Håland,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Madla,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Hetland,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Fister,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Hjelmeland og Fister,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Sjernarøy,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Finnøy,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Rennesøy,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Stavanger,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Torvastad,Haugesund,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Skåre,Haugesund,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Haugesund,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Høyland,Sandnes,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Hetland,Sandnes,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Høle,Sandnes,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Forsand,Sandnes,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Sandnes,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Sogndal,Sokndal,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Sokndal,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Heskestad,Lund,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Lund,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Bjerkreim,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Ogna,Hå,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Varhaug,Hå,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Nærbø,Hå,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Hå,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Klepp,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Time,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Høle,Gjesdal,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Gjesdal,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Håland,Sola,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Sola,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Randaberg,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Forsand,Strand,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Strand,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Årdal,Hjelmeland,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Fister,Hjelmeland,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Hjelmeland og Fister,Hjelmeland,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Hjelmeland,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Sand,Suldal,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Erfjord,Suldal,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Jelsa,Suldal,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Imsland,Suldal,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Suldal,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Sauda,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Kvitsøy,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Bokn,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Nedstrand,Tysvær,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Avaldsnes,Tysvær,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Skjold,Tysvær,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Tysvær,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Skudeneshavn,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Kopervik,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Avaldsnes,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Stangaland,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Åkra,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Skudenes,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Torvastad,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Karmøy,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Utsira,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Skjold,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Vats,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Imsland,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Vikedal,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Sandeid,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Ølen,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
,Vindafjord,,Rogaland,Rogaland,Sørvestlandsk,18,west,west
Tromsø,Tromsø,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Harstad,Harstad,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Bjarkøy,Harstad,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Alta,Alta,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Vardø,Vardø,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Vadsø,Vadsø,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Hammerfest,Hammerfest,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Kvalsund,Hammerfest,Finnmark,Troms og Finnmark,Finnmark,Troms-Finnmarks-mål,1,north,north
Kvæfjord,Kvæfjord,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Tjeldsund,Tjeldsund,Nordland,Troms og Finnmark,Troms,Troms-Finnmarks-mål,4,north,north
Skånland,Tjeldsund,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
,Tjeldsund,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Ibestad,Ibestad,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Gratangen,Gratangen,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Lavangen,Lavangen,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Bardu,Bardu,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Salangen,Salangen,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Målselv,Målselv,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
Sørreisa,Sørreisa,Troms,Troms og Finnmark,Troms,Troms-Finnmarks-mål,3,north,north
